id_bigger,id_smaller,num_modif_sites,diff_formula,weight_bigger,weight_smaller,difference,adduct,msmassanalyzer
CCMSLIB00010102088,CCMSLIB00010101996,1,O1,352.162,336.167,15.995000000000005,[M+H]1+,orbitrap
CCMSLIB00010102089,CCMSLIB00010101996,1,O1,352.162,336.167,15.995000000000005,[M+H]1+,orbitrap
CCMSLIB00010102088,CCMSLIB00010102014,1,O1,352.162,336.167,15.995000000000005,[M+H]1+,orbitrap
CCMSLIB00010102089,CCMSLIB00010102014,1,O1,352.162,336.167,15.995000000000005,[M+H]1+,orbitrap
CCMSLIB00010102225,CCMSLIB00010102026,1,C1H2,168.066,154.05,14.015999999999991,[M+H]1+,orbitrap
CCMSLIB00010102227,CCMSLIB00010102026,1,C1H2,168.066,154.05,14.015999999999991,[M+H]1+,orbitrap
CCMSLIB00010102225,CCMSLIB00010102029,1,C1H2,168.066,154.05,14.015999999999991,[M+H]1+,orbitrap
CCMSLIB00010102227,CCMSLIB00010102029,1,C1H2,168.066,154.05,14.015999999999991,[M+H]1+,orbitrap
CCMSLIB00010103196,CCMSLIB00010102041,1,O1,221.092,205.097,15.995000000000005,[M+H]1+,orbitrap
CCMSLIB00010103305,CCMSLIB00010102041,1,C2H2O1,247.108,205.097,42.010999999999996,[M+H]1+,orbitrap
CCMSLIB00010107628,CCMSLIB00010102041,1,C1H2O1,235.108,205.097,30.010999999999996,[M+H]1+,orbitrap
CCMSLIB00010108055,CCMSLIB00010102041,1,C5H2O2,299.103,205.097,94.006,[M+H]1+,orbitrap
CCMSLIB00010108274,CCMSLIB00010102041,1,C2H2O1,247.108,205.097,42.010999999999996,[M+H]1+,orbitrap
CCMSLIB00010109750,CCMSLIB00010102041,1,C2H2O1,247.108,205.097,42.010999999999996,[M+H]1+,orbitrap
CCMSLIB00010109990,CCMSLIB00010102041,1,C1H2O2S1,283.075,205.097,77.97799999999998,[M+H]1+,orbitrap
CCMSLIB00010111241,CCMSLIB00010102041,1,C1H2,219.113,205.097,14.015999999999991,[M+H]1+,orbitrap
CCMSLIB00010111610,CCMSLIB00010102041,1,C1H1N1O1,248.103,205.097,43.006,[M+H]1+,orbitrap
