id_bigger,id_smaller,num_modif_sites,diff_formula,weight_bigger,weight_smaller,difference,adduct,msmassanalyzer
CCMSLIB00005464419,CCMSLIB00005463552,1,C1H2,233.128,219.113,14.014999999999986,[M+H]1+,orbitrap
CCMSLIB00005463563,CCMSLIB00005463556,1,C2H4O1,204.102,160.076,44.02600000000001,[M+H]1+,orbitrap
CCMSLIB00005463613,CCMSLIB00005463556,1,C1H2O1,190.086,160.076,30.01000000000002,[M+H]1+,orbitrap
CCMSLIB00005464240,CCMSLIB00005463556,1,O1,176.071,160.076,15.995000000000005,[M+H]1+,orbitrap
CCMSLIB00005464251,CCMSLIB00005463556,1,O1,176.071,160.076,15.995000000000005,[M+H]1+,orbitrap
CCMSLIB00005464269,CCMSLIB00005463584,1,O1,184.06,168.066,15.994,[M+H]1+,orbitrap
CCMSLIB00005463542,CCMSLIB00005463595,1,C1H2,123.08,109.065,14.015,[M+H]1+,orbitrap
CCMSLIB00005463563,CCMSLIB00005463613,1,C1H2,204.102,190.086,14.015999999999991,[M+H]1+,orbitrap
CCMSLIB00005463901,CCMSLIB00005463873,1,H-2O1,361.201,347.222,13.979000000000042,[M+H]1+,orbitrap
CCMSLIB00005464584,CCMSLIB00005463873,1,O1,363.217,347.222,15.995000000000005,[M+H]1+,orbitrap
CCMSLIB00005463907,CCMSLIB00005463885,1,H-1I1,777.694,651.797,125.89699999999993,[M+H]1+,orbitrap
CCMSLIB00005464584,CCMSLIB00005463890,1,O1,363.217,347.222,15.995000000000005,[M+H]1+,orbitrap
CCMSLIB00005464416,CCMSLIB00005463899,1,C1H2O1,195.065,165.055,30.00999999999999,[M+H]1+,orbitrap
CCMSLIB00005463964,CCMSLIB00005463914,1,O1,132.066,116.071,15.995000000000005,[M+H]1+,orbitrap
CCMSLIB00005463972,CCMSLIB00005463914,1,H-2O1,130.05,116.071,13.979000000000013,[M+H]1+,orbitrap
CCMSLIB00005463976,CCMSLIB00005463914,1,O1,132.066,116.071,15.995000000000005,[M+H]1+,orbitrap
CCMSLIB00005464036,CCMSLIB00005463914,1,O1,132.066,116.071,15.995000000000005,[M+H]1+,orbitrap
CCMSLIB00005464089,CCMSLIB00005463914,1,H-2O1,130.05,116.071,13.979000000000013,[M+H]1+,orbitrap
CCMSLIB00005464130,CCMSLIB00005463914,1,C2H2O1,158.081,116.071,42.00999999999999,[M+H]1+,orbitrap
CCMSLIB00005463953,CCMSLIB00005463916,1,H1N1,136.062,121.051,15.01100000000001,[M+H]1+,orbitrap
CCMSLIB00005464063,CCMSLIB00005463916,1,H1N1,136.062,121.051,15.01100000000001,[M+H]1+,orbitrap
CCMSLIB00005464066,CCMSLIB00005463916,1,O1,137.046,121.051,15.99499999999999,[M+H]1+,orbitrap
CCMSLIB00005464175,CCMSLIB00005463916,1,C1H2S1,167.039,121.051,45.987999999999985,[M+H]1+,orbitrap
CCMSLIB00005463915,CCMSLIB00005463917,1,C1H2,120.066,106.05,14.016000000000005,[M+H]1+,orbitrap
CCMSLIB00005463946,CCMSLIB00005463917,1,C1H2,120.066,106.05,14.016000000000005,[M+H]1+,orbitrap
CCMSLIB00005464056,CCMSLIB00005463917,1,C2H2O1,148.06,106.05,42.010000000000005,[M+H]1+,orbitrap
