id_bigger,id_smaller,num_modif_sites,diff_formula,weight_bigger,weight_smaller,difference,adduct,msmassanalyzer
CCMSLIB00000851650,CCMSLIB00000845014,1,C1O1,359.149,331.154,27.995000000000005,[M+H]1+,qtof
CCMSLIB00000848934,CCMSLIB00000845038,1,O1,345.133,329.138,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000853947,CCMSLIB00000845038,1,O1,345.133,329.138,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000846078,CCMSLIB00000845048,1,C1H2,401.253,387.237,14.015999999999963,[M+H]1+,qtof
CCMSLIB00000845389,CCMSLIB00000845051,1,C5H8,325.143,257.081,68.06199999999995,[M+H]1+,qtof
CCMSLIB00000845594,CCMSLIB00000845051,1,O1,273.075,257.081,15.993999999999971,[M+H]1+,qtof
CCMSLIB00000845714,CCMSLIB00000845051,1,C1H2,271.096,257.081,14.014999999999986,[M+H]1+,qtof
CCMSLIB00000846005,CCMSLIB00000845051,1,C1H2O1,287.091,257.081,30.00999999999999,[M+H]1+,qtof
CCMSLIB00000846117,CCMSLIB00000845051,1,C1H2O1,287.091,257.081,30.00999999999999,[M+H]1+,qtof
CCMSLIB00000847382,CCMSLIB00000845051,1,C1H2,271.096,257.081,14.014999999999986,[M+H]1+,qtof
CCMSLIB00000847461,CCMSLIB00000845051,1,C7H6O2,379.117,257.081,122.036,[M+H]1+,qtof
CCMSLIB00000847090,CCMSLIB00000845054,1,C1H2O1,335.112,305.102,30.010000000000048,[M+H]1+,qtof
CCMSLIB00000847554,CCMSLIB00000845054,1,C5H6O1,387.144,305.102,82.04200000000003,[M+H]1+,qtof
CCMSLIB00000848343,CCMSLIB00000845054,1,C5H6O1,387.144,305.102,82.04200000000003,[M+H]1+,qtof
CCMSLIB00000848936,CCMSLIB00000845054,1,C5H8O1,389.159,305.102,84.05700000000002,[M+H]1+,qtof
CCMSLIB00005721737,CCMSLIB00000845054,1,C5H8O1,389.161,305.102,84.05900000000003,[M+H]1+,qtof
CCMSLIB00005721860,CCMSLIB00000845054,1,C5H6O1,387.144,305.102,82.04200000000003,[M+H]1+,qtof
CCMSLIB00000845060,CCMSLIB00000845056,1,C6H10O4,595.165,449.108,146.05699999999996,[M+H]1+,qtof
CCMSLIB00000845303,CCMSLIB00000845056,1,O1,465.102,449.108,15.993999999999971,[M+H]1+,qtof
CCMSLIB00000846155,CCMSLIB00000845056,1,C6H10O4,595.165,449.108,146.05699999999996,[M+H]1+,qtof
CCMSLIB00000846403,CCMSLIB00000845056,1,C6H10O4,595.165,449.108,146.05699999999996,[M+H]1+,qtof
CCMSLIB00000846803,CCMSLIB00000845056,1,H-2O1,463.087,449.108,13.978999999999985,[M+H]1+,qtof
CCMSLIB00000846944,CCMSLIB00000845056,1,C5H8O4,581.15,449.108,132.04199999999997,[M+H]1+,qtof
CCMSLIB00000848126,CCMSLIB00000845056,1,C6H10O5,611.16,449.108,162.05199999999996,[M+H]1+,qtof
CCMSLIB00000848249,CCMSLIB00000845056,1,O1,465.102,449.108,15.993999999999971,[M+H]1+,qtof
CCMSLIB00000848318,CCMSLIB00000845056,1,C7H4O4,601.119,449.108,152.01100000000002,[M+H]1+,qtof
CCMSLIB00000848486,CCMSLIB00000845056,1,C1H2O1,479.118,449.108,30.00999999999999,[M+H]1+,qtof
CCMSLIB00000848930,CCMSLIB00000845056,1,C5H8O4,581.15,449.108,132.04199999999997,[M+H]1+,qtof
CCMSLIB00000848960,CCMSLIB00000845056,1,C6H10O4,595.165,449.108,146.05699999999996,[M+H]1+,qtof
CCMSLIB00000849018,CCMSLIB00000845056,1,C9H6O2,595.144,449.108,146.036,[M+H]1+,qtof
CCMSLIB00005721451,CCMSLIB00000845056,1,C7H4O4,601.119,449.108,152.01100000000002,[M+H]1+,qtof
CCMSLIB00005721600,CCMSLIB00000845056,1,C6H10O4,595.168,449.108,146.06,[M+H]1+,qtof
CCMSLIB00000846026,CCMSLIB00000845058,1,C1H2,493.097,479.082,14.014999999999986,[M+H]1+,qtof
CCMSLIB00000846826,CCMSLIB00000845059,1,C6H10O4,625.212,479.155,146.05700000000002,[M+H]1+,qtof
CCMSLIB00005721397,CCMSLIB00000845059,1,C6H10O4,625.213,479.155,146.058,[M+H]1+,qtof
CCMSLIB00000845189,CCMSLIB00000845060,1,C6H10O5,757.218,595.165,162.053,[M+H]1+,qtof
