id_bigger,id_smaller,num_modif_sites,diff_formula,weight_bigger,weight_smaller,difference,adduct,msmassanalyzer
CCMSLIB00000084790,CCMSLIB00000084746,1,C2H2O1,291.081,249.071,42.01000000000002,[M+H]1+,qtof
CCMSLIB00000085336,CCMSLIB00000084766,1,H-1Cl1,545.011,511.062,33.948999999999955,[M+H]1+,qtof
CCMSLIB00000084950,CCMSLIB00000084784,1,C2H2O2,405.228,347.224,58.00400000000002,[M+H]1+,qtof
CCMSLIB00000085054,CCMSLIB00000084784,1,O1,363.215,347.224,15.990999999999985,[M+H]1+,qtof
CCMSLIB00000085212,CCMSLIB00000084784,1,C4H4O4,463.231,347.224,116.007,[M+H]1+,qtof
CCMSLIB00000085329,CCMSLIB00000084784,1,C2H2O2,405.22,347.224,57.99600000000004,[M+H]1+,qtof
CCMSLIB00000085697,CCMSLIB00000084784,1,C8H14O2,489.327,347.224,142.103,[M+H]1+,qtof
CCMSLIB00000085976,CCMSLIB00000084784,1,O1,363.214,347.224,15.990000000000009,[M+H]1+,qtof
CCMSLIB00000085985,CCMSLIB00000084784,1,C2H2O2,405.225,347.224,58.00100000000003,[M+H]1+,qtof
CCMSLIB00000085462,CCMSLIB00000084817,1,C1H2,285.189,271.172,14.016999999999996,[M+H]1+,qtof
CCMSLIB00000084833,CCMSLIB00000084826,1,C2H2O1,387.257,345.246,42.011000000000024,[M+H]1+,qtof
CCMSLIB00000086116,CCMSLIB00000084826,1,C2H2O1,387.261,345.246,42.01500000000004,[M+H]1+,qtof
CCMSLIB00000085038,CCMSLIB00000084845,1,C2H2O2,373.237,315.236,58.00100000000003,[M+H]1+,qtof
CCMSLIB00000085114,CCMSLIB00000084845,1,O1,331.229,315.236,15.992999999999995,[M+H]1+,qtof
CCMSLIB00000085120,CCMSLIB00000084845,1,C6H10O2,429.304,315.236,114.06799999999998,[M+H]1+,qtof
CCMSLIB00000085319,CCMSLIB00000084845,1,O1,331.221,315.236,15.985000000000014,[M+H]1+,qtof
CCMSLIB00000085500,CCMSLIB00000084845,1,O1,331.233,315.236,15.997000000000014,[M+H]1+,qtof
CCMSLIB00000085292,CCMSLIB00000084853,1,O1,249.12,233.131,15.989000000000004,[M+H]1+,qtof
CCMSLIB00000085910,CCMSLIB00000084853,1,H-1Cl1,267.09,233.131,33.958999999999975,[M+H]1+,qtof
CCMSLIB00000085327,CCMSLIB00000084872,1,C1H2,308.218,294.21,14.008000000000038,[M+H]1+,qtof
CCMSLIB00000085210,CCMSLIB00000084903,1,H-1F1,453.208,435.222,17.986000000000047,[M+H]1+,qtof
CCMSLIB00000085212,CCMSLIB00000084950,1,C2H2O2,463.231,405.228,58.002999999999986,[M+H]1+,qtof
CCMSLIB00000085697,CCMSLIB00000084950,1,C6H12,489.327,405.228,84.09899999999999,[M+H]1+,qtof
CCMSLIB00000085276,CCMSLIB00000084951,1,C1H2,195.085,181.072,14.013000000000005,[M+H]1+,qtof
CCMSLIB00000086037,CCMSLIB00000084962,1,C2H2O2,416.097,358.084,58.01299999999998,[M+H]1+,qtof
CCMSLIB00000085131,CCMSLIB00000084979,1,C6H4,344.138,268.103,76.03499999999997,[M+H]1+,qtof
CCMSLIB00000085137,CCMSLIB00000084979,1,H-1F1,286.096,268.103,17.992999999999995,[M+H]1+,qtof
CCMSLIB00000085178,CCMSLIB00000084979,1,C9H10,386.185,268.103,118.082,[M+H]1+,qtof
CCMSLIB00000085190,CCMSLIB00000084979,1,H-1F1,286.094,268.103,17.990999999999985,[M+H]1+,qtof
CCMSLIB00000085335,CCMSLIB00000084979,1,C5H8,336.162,268.103,68.05899999999997,[M+H]1+,qtof
CCMSLIB00000085557,CCMSLIB00000084979,1,C5H4O1,348.137,268.103,80.03399999999999,[M+H]1+,qtof
CCMSLIB00000085562,CCMSLIB00000084979,1,C8H8,372.175,268.103,104.072,[M+H]1+,qtof
CCMSLIB00000085643,CCMSLIB00000084979,1,C6H5N1,359.151,268.103,91.048,[M+H]1+,qtof
CCMSLIB00000085793,CCMSLIB00000084979,1,C8H9N1,387.181,268.103,119.07799999999997,[M+H]1+,qtof
CCMSLIB00000085867,CCMSLIB00000084979,1,C9H10,386.186,268.103,118.08299999999997,[M+H]1+,qtof
CCMSLIB00000085939,CCMSLIB00000084979,1,C5H8,336.164,268.103,68.06099999999998,[M+H]1+,qtof
CCMSLIB00000086051,CCMSLIB00000084979,1,H-1Cl1,302.071,268.103,33.96800000000002,[M+H]1+,qtof
CCMSLIB00000085054,CCMSLIB00000084981,1,O1,363.215,347.221,15.993999999999971,[M+H]1+,qtof
CCMSLIB00000085485,CCMSLIB00000084981,1,H-2O1,361.207,347.221,13.98599999999999,[M+H]1+,qtof
CCMSLIB00000085976,CCMSLIB00000084981,1,O1,363.214,347.221,15.992999999999995,[M+H]1+,qtof
CCMSLIB00000084976,CCMSLIB00000084988,1,C1H2,285.076,271.06,14.01600000000002,[M+H]1+,qtof
